title,genres,keywords,tagline,cast,director
"You, Me and Dupree",Comedy Romance,roommate love of one's life newlywed,Two's company. Dupree's a crowd.,Kate Hudson Owen Wilson Matt Dillon Michael Douglas Seth Rogen,Anthony Russo
One Hour Photo,Horror Thriller,sexual abuse hotel room cheating supermarket penalty,The things that we fear the most have already happened to us...,Robin Williams Connie Nielsen Michael Vartan Erin Daniels Eriq La Salle,Mark Romanek
Scary Movie 3,Comedy,horror spoof,Great trilogies come in threes.,Pamela Anderson Jenny McCarthy Marny Eng Charlie Sheen Simon Rex,David Zucker
A Fistful of Dollars,Western,gang war victim of murder greed hostility spaghetti western,"In his own way he is perhaps, the most dangerous man who ever lived!",Clint Eastwood Marianne Koch Gian Maria Volont\u00e9 Wolfgang Lukschy Jos\u00e9 Calvo,Sergio Leone
Sherlock Holmes,Action Adventure Crime Mystery,detective scotland yard coffin black magic arrest,Nothing escapes him.,Robert Downey Jr. Jude Law Rachel McAdams Mark Strong Eddie Marsan,Guy Ritchie
The Hurt Locker,Drama Thriller War,sniper explosive loyalty u.s. army iraq,You'll know when you're in it.,Jeremy Renner Anthony Mackie Brian Geraghty Guy Pearce Ralph Fiennes,Kathryn Bigelow
The Last King of Scotland,Drama,dictator 1970s general kidnapping naivety,Charming. Magnetic. Murderous.,Forest Whitaker James McAvoy Simon McBurney Gillian Anderson Kerry Washington,Kevin Macdonald
Dead Snow,Horror Comedy,norway undead zombie wintry,"Eins, Zwei, Die!",Charlotte Frogner Stig Frode Henriksen Vegar Hoel Jeppe Beck Laursen Evy Kasseth R\u00f8sten,Tommy Wirkola
Million Dollar Baby,Drama,transporter suicide attempt strong woman boxer dying and death,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Clint Eastwood Hilary Swank Morgan Freeman Jay Baruchel Mike Colter,Clint Eastwood
The Blood of Heroes,Action Adventure Science Fiction,martial arts post-apocalyptic sport revenge independent film,When juggers play there is only one way to live - THE HARD WAY!,Rutger Hauer Joan Chen Delroy Lindo Anna Katarina Vincent D'Onofrio,David Webb Peoples
Angela's Ashes,Drama,emigration irish-american hunger socially deprived family famine,,Emily Watson Robert Carlyle Joe Breen Michael Legge Ciaran Owens,Alan Parker
Silver Medalist,Action Adventure Comedy Drama Foreign,,,Huang Bo Kong Jiu Shaohua Ma Xu Zheng Yung Cheung,Ning Hao
Subway,Action Thriller,paris culture clash subway metropolis blackmail,An underground story where lives intertwine,Isabelle Adjani Christopher Lambert Richard Bohringer Michel Galabru Jean-Hugues Anglade,Luc Besson
Lara Croft: Tomb Raider,Adventure Fantasy Action Thriller,treasure buddhist monk planetary configuration angkor wat illuminati,Born into Wealth. Groomed by the Elite. Trained for Combat.,Angelina Jolie Jon Voight Iain Glen Noah Taylor Daniel Craig,Simon West
The Land Before Time,Animation Adventure Family,vulkan loss of mother tyrannosaurus rex earthquake primitive time,A new adventure is born.,Gabriel Damon Candace Hutson Judith Barsi Will Ryan Pat Hingle,Don Bluth
Heist,Crime Action Thriller,casino robbery bus hijacking heist,Never make a bet you can't afford to lose.,Jeffrey Dean Morgan Robert De Niro Kate Bosworth Dave Bautista Gina Carano,Scott Mann
"Remember Me, My Love",Drama Comedy Romance,eroticism,Some loves are never forgotten,Fabrizio Bentivoglio Laura Morante Monica Bellucci Silvio Muccino Nicoletta Romanoff,Gabriele Muccino
Big Daddy,Comedy Drama,bachelor law vomit syracuse university law school,Nature called. Look who answered.,Adam Sandler Joey Lauren Adams Kristy Swanson Cole Sprouse Jon Stewart,Dennis Dugan
Twixt,Horror Thriller,sheriff vampire orphanage writer edgar allen poe,"Between the living and the dead, eviil is waiting.",Val Kilmer Bruce Dern Ben Chaplin Elle Fanning Joanne Whalley,Francis Ford Coppola
An Education,Drama Romance,adolescence age difference self-discovery coming of age love affair,An education isn't always by the book.,Carey Mulligan Olivia Williams Peter Sarsgaard Alfred Molina Cara Seymour,Lone Scherfig
Big,Fantasy Drama Comedy Romance Family,baseball co-worker bronx pinball machine toy maker,You're Only Young Once But For Josh It Might Just Last A Lifetime.,Tom Hanks Elizabeth Perkins Robert Loggia John Heard Jared Rushton,Penny Marshall
Phat Girlz,Comedy Romance,woman director,,Mo'Nique Jimmy Jean-Louis Godfrey Joyful Drake Brendan Walsh,Nnegest Likk\u00e9
Remember the Titans,Drama,ku klux klan american football trainer sports team race politics,History is written by the winners.,Denzel Washington Will Patton Ryan Hurst Wood Harris Hayden Panettiere,Boaz Yakin
Just Go with It,Romance Comedy,beach fictitious marriage blackmail plastic surgery marriage,Sometimes a guy's best wingman... is a wingwoman,Adam Sandler Jennifer Aniston Nicole Kidman Nick Swardson Brooklyn Decker,Dennis Dugan
The Lion of Judah,Adventure Animation Comedy Family,palm sunday jerusalem judah bethlehem judah,The lamb who saved the world!,Georgina Cordova Ernest Borgnine Michael Madsen Scott Eastwood,Deryck Broom
Space Jam,Animation Comedy Drama Family Fantasy,sport basketball doctor basketball team basketball game,Get ready to jam.,Michael Jordan Wayne Knight Billy West Dee Bradley Baker Theresa Randle,Joe Pytka
Escape from New York,Science Fiction Action,taxi street gang usa president war veteran hostage,1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.,Kurt Russell Lee Van Cleef Ernest Borgnine Donald Pleasence Isaac Hayes,John Carpenter
Letters from Iwo Jima,Action Adventure Drama War,world war ii cave dying and death pacific theater japanese army,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryo Kase Shidou Nakamura,Clint Eastwood
Man of Steel,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,You will believe that a man can fly.,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
Harsh Times,Crime Drama Thriller Action,watching a movie playing pool vinegar,Take A Ride To The Edge,Christian Bale Freddy Rodr\u00edguez Eva Longoria Chaka Forman Tammy Trull,David Ayer
G.I. Jane,Action Drama,poem middle east helicopter satellite navy,Failure is not an option.,Demi Moore Viggo Mortensen Anne Bancroft Jason Beghe Daniel von Bargen,Ridley Scott
Ida,Drama,nun mine jew jewish poland,,Agata Trzebuchowska Agata Kulesza Joanna Kulig Dawid Ogrodnik Adam Szyszkowski,Pawe\u0142 Pawlikowski
Insidious: Chapter 3,Drama Horror Thriller,sequel,This is how you die,Dermot Mulroney Stefanie Scott Lin Shaye Leigh Whannell Angus Sampson,Leigh Whannell
Valkyrie,Drama Thriller History War,berlin suicide bomb assassination resistance,Many saw evil. They dared to stop it.,Tom Cruise Carice van Houten Kenneth Branagh Bill Nighy Terence Stamp,Bryan Singer
Donkey Punch,Horror Drama Thriller Crime,,This party is going overboard,Nichola Burley Sian Breckin Jaime Winstone Robert Boulter Tom Burke,Olly Blackburn
The Blind Side,Drama,american football adoption education private school sport,Based on the extraordinary true story,Sandra Bullock Quinton Aaron Kathy Bates Tim McGraw Jae Head,John Lee Hancock
The Tempest,Drama Fantasy,shakespeare sword island frog sorcery,,Helen Mirren Felicity Jones Reeve Carney David Strathairn Tom Conti,Julie Taymor
London to Brighton,Crime Drama Thriller,suspense,Innocence has nowhere to hide,Georgia Groome Johnny Harris Sam Spruell Lorraine Stanley Alexander Morton,Paul Andrew Williams
Sea Rex 3D: Journey to a Prehistoric World,Documentary,prehistoric dinosaur imax underwater scene 3d,The T-Rex of the Seas come alive.,Guillaume Denaiffe Norbert Ferrer Chloe Hollings Richard Rider Tom Yang,Ronan Chapalain
Black November,Drama Action Crime,,Blood Will Be Spilled,Razaaq Adoti Sarah Wayne Callies Mickey Rourke Kim Basinger Anne Heche,Jeta Amata
Drive Me Crazy,Drama Comedy Romance Family,high school prom next door neighbor,The last guy she wants is the only one she needs.,Melissa Joan Hart Stephen Collins Adrian Grenier Susan May Pratt Ali Larter,John Schultz
H.,Thriller Drama Science Fiction,woman director,,Robin Bartlett Rebecca Dayan Will Janowitz Julian Gamble,Rania Attieh
Unforgiven,Western,prostitute sheriff bounty regret right and justice,Some legends will never be forgotten. Some wrongs can never be forgiven.,Clint Eastwood Gene Hackman Morgan Freeman Richard Harris Jaimz Woolvett,Clint Eastwood
A Sound of Thunder,Thriller Science Fiction Adventure Action,dying and death time travel romance dinosaur,Some Rules Should Never Be Broken.,Heike Makatsch Armin Rohde David Oyelowo Wilfried Hochholdinger Edward Burns,Peter Hyams
Lolita,Drama Romance,sexual obsession hotel depression loss of mother small town,How did they ever make a movie of ...,James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell,Stanley Kubrick
Secondhand Lions,Comedy Drama Family,texas money veteran,,Michael Caine Robert Duvall Haley Joel Osment Josh Lucas Kyra Sedgwick,Tim McCanlies
For Colored Girls,Drama,female nudity poem rape love domestic violence,Many voices. One poem.,Kimberly Elise Janet Jackson Loretta Devine Thandie Newton Anika Noni Rose,Tyler Perry
Dungeons & Dragons: Wrath of the Dragon God,Action Adventure Fantasy,fighter royalty curse dragon,,Bruce Payne Mark Dymond Clemency Burton-Hill Ellie Chidzey Tim Stern,Gerry Lively
Celeste & Jesse Forever,Comedy Drama Romance,relationship problems male female relationship divorce best friends in love,A Loved Story,Rashida Jones Andy Samberg Elijah Wood Emma Roberts Ari Graynor,Lee Toland Krieger
Impact Point,Thriller Romance,,,Brian Austin Green Melissa Keller Linden Ashby Joe Manganiello Eddie Alfano,Hayley Cloake
Despicable Me 2,Animation Comedy Family,secret agent bakery falling in love father daughter relationship duringcreditsstinger,Back 2 Work,Steve Carell Kristen Wiig Benjamin Bratt Miranda Cosgrove Russell Brand,Pierre Coffin
The Homesman,Western Drama,dancing based on novel revenge native american violence,,Hilary Swank Tommy Lee Jones Grace Gummer Meryl Streep Miranda Otto,Tommy Lee Jones
My Big Fat Greek Wedding 2,Romance Comedy Family,comedy wedding,People change. Greeks don't.,John Corbett Elena Kampouris Nia Vardalos Ian Gomez John Stamos,Kirk Jones
An Inconvenient Truth,Documentary,climate change greenhouse effect climate earth global warming,By far the most terrifying film you will ever see.,Al Gore Billy West Ronald Reagan George W. Bush George H. W. Bush,Davis Guggenheim
28 Days,Comedy Drama,alcoholism urteil car crash wedding withdrawal,The Life of the Party... before she got a life.,Sandra Bullock Viggo Mortensen Dominic West Elizabeth Perkins Alan Tudyk,Betty Thomas
The Hills Have Eyes 2,Horror Thriller,new mexico mutant assault survival,Help isn't coming.,Michael Bailey Smith Archie Kao Jay Acovone Jeff Kober Philip Pavel,Martin Weisz
The Wailing,Horror Mystery,sex small town exorcism investigation daughter,Never be tempted.,Kwak Do-won Hwang Jung-min Chun Woo-hee Jun Kunimura Kim Hwan-hee,Na Hong-jin
Legends of the Fall,Adventure Drama Romance War,brother brother relationship montana based on novel world war i journey round the world,After the Fall from Innocence the Legend begins.,Brad Pitt Anthony Hopkins Aidan Quinn Julia Ormond Henry Thomas,Edward Zwick
RED 2,Action Comedy Crime Thriller,paris london england cia russia mi6,The best never rest.,Bruce Willis Catherine Zeta-Jones Anthony Hopkins Helen Mirren John Malkovich,Dean Parisot
