title,genres,keywords,tagline,cast,director
The Tale of Despereaux,Adventure Animation Family,loyalty totalitarian regime mouse forgiveness honor,Small Mouse. Big Dreams,Matthew Broderick Dustin Hoffman Emma Watson Tracey Ullman Kevin Kline,Robert Stevenhagen
Panic Room,Crime Drama Thriller,burglar bunker housebreaking safe money,,Jodie Foster Kristen Stewart Forest Whitaker Dwight Yoakam Jared Leto,David Fincher
Black Mass,Crime Drama,boston based on true story organized crime,Keep your enemies close.,Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon,Scott Cooper
Selena,Drama,musical tejano elopement bustier fan club,Discover the true story of one of America's brightest stars... that faded too soon.,Jennifer Lopez Edward James Olmos Constance Marie Jon Seda Lupe Ontiveros,Gregory Nava
Pet Sematary,Drama Horror,coffin pet funeral head injury grief,Sometimes dead is better.,Dale Midkiff Fred Gwynne Denise Crosby Brad Greenquist Michael Lombard,Mary Lambert
Scooby-Doo,Mystery Adventure Comedy,amateur detective voodoo resort crime solving,Get a Clue,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Rowan Atkinson,Raja Gosnell
The Hunger Games,Science Fiction Adventure Fantasy,hallucination dystopia female protagonist bow and arrow knife throwing,May The Odds Be Ever In Your Favor.,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Gary Ross
Brave New Girl,Drama Music Family,tv movie,,Virginia Madsen Lindsey Haun Barbara Mamabolo John Ralston Nick Roth,Bobby Roth
Blood Diamond,Drama Thriller Action,rebel journalist journalism loss of family slavery,It will cost you everything.,Leonardo DiCaprio Djimon Hounsou Jennifer Connelly Kagiso Kuypers Arnold Vosloo,Edward Zwick
Finishing The Game,Comedy,satire independent film spoof,,Roger Fan Sung Kang Monique Gabriela Curnen Meredith Scott Lynn Sam Bottoms,Justin Lin
Veronika Decides to Die,Drama Romance,new york sex asylum controversial independent film,"For Veronika, confronting death... is discovering life.",Sarah Michelle Gellar David Thewlis Jonathan Tucker Erika Christensen Melissa Leo,Emily Young
Bound by Honor,Action Crime Drama Thriller,juvenile prison artist jail east l.a. hood,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,Damian Chapa Jesse Borrego Benjamin Bratt Enrique Castillo Victor Rivers,Taylor Hackford
Blue Ruin,Crime Thriller,revenge drifter virginia character study neo-noir,Revenge comes home,Macon Blair Devin Ratray Amy Hargreaves Kevin Kolack Eve Plumb,Jeremy Saulnier
In Good Company,Comedy Drama Romance,midlife crisis daughter bad boss,"He's rich, young and handsome. He's in love with you and he's your dad's boss.",Topher Grace Scarlett Johansson Dennis Quaid Marg Helgenberger David Paymer,Paul Weitz
The Crying Game,Romance Crime Drama Thriller,transvestism gay hostage love of one's life northern ireland,Play At Your Own Risk.,Stephen Rea Jaye Davidson Miranda Richardson Forest Whitaker Adrian Dunbar,Neil Jordan
Raging Bull,Drama,transporter jealousy violent husband paranoia boxer,,Robert De Niro Joe Pesci Cathy Moriarty Frank Vincent Nicholas Colasanto,Martin Scorsese
For Love of the Game,Drama Romance,baseball trainer career legend training,Billy Chapel must choose between the woman he loves and the game he lives for.,Kevin Costner Kelly Preston John C. Reilly Jena Malone J.K. Simmons,Sam Raimi
The Thomas Crown Affair,Drama Crime Romance,martinique claude monet famous painting glider insurance agent,How do you get the man who has everything?,Pierce Brosnan Rene Russo Denis Leary Ben Gazzara Frankie Faison,John McTiernan
Mr. & Mrs. Smith,Action Comedy Drama Thriller,bomb assassin secret identity secret assault rifle,Smart and sexy.,Angelina Jolie Brad Pitt Vince Vaughn Adam Brody Kerry Washington,Doug Liman
Opal Dream,Drama Family Foreign,miner australia terminal illness imaginary friend independent film,,Sapphire Boyce Christian Byers Vince Colosimo Jacqueline McKenzie Robert Morgan,Peter Cattaneo
Garfield,Animation Comedy Family,competition moderator lasagne garfield,Get ready for frisky business.,Bill Murray Breckin Meyer Jennifer Love Hewitt Stephen Tobolowsky Evan Arnold,Peter Hewitt
Scrooged,Fantasy Comedy Drama,holiday tv ratings comedy scrooge christmas carol,The spirits will move you in odd and hysterical ways.,Bill Murray Karen Allen John Forsythe Bobcat Goldthwait Carol Kane,Richard Donner
Young Sherlock Holmes,Action Adventure Crime Drama Family,london england school friend religion and supernatural sherlock holmes murder,"Before a lifetime of adventure, they lived the adventure of a lifetime.",Nicholas Rowe Alan Cox Sophie Ward Anthony Higgins Susan Fleetwood,Barry Levinson
The Gallows,Horror Thriller,gallows high school tragedy hanging found footage,Every School Has Its Spirit,Cassidy Gifford Ryan Shoos Pfeifer Brown Reese Mishler Price T. Morgan,Travis Cluff
Penguins of Madagascar,Family Animation Adventure Comedy,penguin madagascar 3d,The Movie Event That Will Blow Their Cover,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Eric Darnell
Air Force One,Action Thriller,prison corruption journalist white house hostage,The fate of a nation rests on the courage of one man.,Harrison Ford Gary Oldman Glenn Close Wendy Crewson William H. Macy,Wolfgang Petersen
Exodus: Gods and Kings,Adventure Drama Action,moses bible ancient egypt 3d ramses,"Once brothers, now enemies.",Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott
Hackers,Action Crime Thriller Drama,female nudity hacker nudity computer virus virtual reality,"There is no right or wrong, only fun and boring",Jonny Lee Miller Angelina Jolie Jesse Bradford Matthew Lillard Renoly Santiago,Iain Softley
The Machinist,Thriller Drama,factory insomnia post it machinist cleaning bathroom tile,A little guilt goes a long way...,Christian Bale Jennifer Jason Leigh Aitana S\u00e1nchez-Gij\u00f3n John Sharian Michael Ironside,Brad Anderson
The Jackal,Action Thriller Adventure Crime,fbi cold war hitman,How do you stop an assassin who has no identity?,Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons,Michael Caton-Jones
Rock of Ages,Comedy Drama Music Romance,musical rocker teenager young love rock sta,Nothin' but a good time,Julianne Hough Diego Boneta Tom Cruise Alec Baldwin Russell Brand,Adam Shankman
American Hustle,Drama Crime,con artist scam mobster fbi agent,Everyone Hustles To Survive,Christian Bale Bradley Cooper Amy Adams Jeremy Renner Jennifer Lawrence,David O. Russell
Keeping Up with the Steins,Comedy,bar mitvah party independent film,A 13-year-old boy uses his upcoming bar mitzvah to reconcile the strained relationship between his father and grandfather.,Daryl Sabara Jami Gertz Jeremy Piven Cheryl Hines Carter Jenkins,Scott Marshall
Hobo with a Shotgun,Action Comedy Thriller,female nudity prostitute shotgun pimp underwear,"Delivering justice, one shell at a time...",Rutger Hauer Gregory Smith Robb Wells Brian Downey Molly Dunsworth,Jason Eisener
The Expendables 2,Action Adventure Thriller,airplane number in title airplane crash violence beard,Back for War.,Sylvester Stallone Jason Statham Dolph Lundgren Bruce Willis Arnold Schwarzenegger,Simon West
Vaalu,Comedy Romance,teenage love,Life is what u make it,Silambarasan Hansika Motwani Santhanam VTV Ganesh Brahmanandam,Vijay Chandar
Born on the Fourth of July,Drama War,vietnam veteran post traumatic stress  disorder bar 1970s wheelchair,A story of innocence lost and courage found.,Tom Cruise Raymond J. Barry Caroline Kava Holly Marie Combs Kyra Sedgwick,Oliver Stone
The Extra Man,Comedy,independent film woman director,"They're not gigolos, they're gentlemen.",Kevin Kline Paul Dano Katie Holmes John C. Reilly Dan Hedaya,Shari Springer Berman
My Beautiful Laundrette,Romance Drama Comedy,london england gay immigration society british,,Gordon Warnecke Daniel Day-Lewis Roshan Seth Saeed Jaffrey Derrick Branche,Stephen Frears
Medicine Man,Adventure,medicine ant research amazon cancer,He turned his back on civilization. Only to discover he had the power to save it.,Sean Connery Lorraine Bracco Jos\u00e9 Wilker Rodolfo De Alexandre Angelo Barra Moreira,John McTiernan
Boom Town,Adventure Drama Romance,partnership oil oil tycoon wildcatter oil field,Where Men Are Rough And Tough . . . And Like Their Women The Same Way !,Clark Gable Spencer Tracy Claudette Colbert Hedy Lamarr Frank Morgan,Jack Conway
King's Ransom,Comedy Crime,caper action,,Anthony Anderson Jay Mohr Kellita Smith Brooke D'Orsay Donald Faison,Jeffrey W. Byrd
The Possession,Horror Thriller,,Fear The Demon That Doesn't Fear God,Jeffrey Dean Morgan Natasha Calis Madison Davenport Kyra Sedgwick Rob LaBelle,Ole Bornedal
Life or Something Like It,Comedy Drama Romance,,,Angelina Jolie Edward Burns Tony Shalhoub Christian Kane Melissa Errico,Stephen Herek
Captain America: Civil War,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Divided We Fall,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
Urbania,Romance Drama,,Heard any good stories lately?,Dan Futterman Matt Keeslar Samuel Ball Lothaire Bluteau Alan Cumming,Jon Matthews
From Dusk Till Dawn,Horror Action Thriller Crime,dancing brother brother relationship sexual obsession showdown sheriff,One night is all that stands between them and freedom. But it's going to be a hell of a night.,George Clooney Quentin Tarantino Harvey Keitel Juliette Lewis Ernest Liu,Robert Rodriguez
Khumba,Animation Adventure Family,3d khumba,"Half a zebra, a whole lot of adventure!",Jake T. Austin Liam Neeson Steve Buscemi AnnaSophia Robb Laurence Fishburne,Anthony Silverston
JFK,Drama Thriller History,assassination cia homophobia new orleans vietnam war,The story that won’t go away.,Kevin Costner Tommy Lee Jones Gary Oldman Kevin Bacon Michael Rooker,Oliver Stone
The Quick and the Dead,Action Western,gunslinger revenge prairie shootout pistol,Think you are quick enough?,Sharon Stone Gene Hackman Russell Crowe Leonardo DiCaprio Tobin Bell,Sam Raimi
Regression,Horror Mystery Thriller,investigation memory loss,Fear always finds its victim,Ethan Hawke Emma Watson David Thewlis Lothaire Bluteau Dale Dickey,Alejandro Amen\u00e1bar
A Low Down Dirty Shame,Action Comedy Crime,fbi drug crime violence drug private detective,He's armed and dangerously funny.,Keenen Ivory Wayans Charles S. Dutton Jada Pinkett Smith Salli Richardson-Whitfield Andrew Divoff,Keenen Ivory Wayans
Spy Kids: All the Time in the World,Family Comedy Action,spy child hero secret agent espionage,,Jessica Alba Mason Cook Rowan Blanchard Joel McHale Jeremy Piven,Robert Rodriguez
Army of Darkness,Fantasy Horror Comedy,prophecy witch swordplay supermarket castle,Trapped in time. Surrounded by evil. Low on gas.,Bruce Campbell Embeth Davidtz Marcus Gilbert Ian Abercrombie Richard Grove,Sam Raimi
Mr. Deeds,Comedy Romance,love letter new hampshire ferrari liar city country contrast,"Small town kid, big time right hook.",Adam Sandler Winona Ryder John Turturro Allen Covert Peter Gallagher,Steven Brill
"War, Inc.",Action Adventure Comedy Thriller,hitman political satire,When it comes to war... America means business,John Cusack Hilary Duff Marisa Tomei Joan Cusack Dan Aykroyd,Joshua Seftel
House at the End of the Street,Horror Thriller,mother daughter relationship cross dressing violence mother son relationship father son conflict,Fear reaches out... for the girl next door.,Jennifer Lawrence Max Thieriot Elisabeth Shue Gil Bellows Nolan Gerard Funk,Mark Tonderai
Jawbreaker,Comedy,confession jealousy nightmare ambition groupie,Suck it and see...,Rose McGowan Julie Benz Rebecca Gayheart Carol Kane Pam Grier,Darren Stein
Hot Tub Time Machine,Science Fiction Comedy Adventure,female nudity one-night stand time travel time machine incest overtones,Kick some past,John Cusack Lizzy Caplan Rob Corddry Craig Robinson Clark Duke,Steve Pink
The Lady from Shanghai,Crime Drama Mystery,new york san francisco aquarium shanghai yacht,I told you... you know nothing about wickedness,Rita Hayworth Orson Welles Everett Sloane Glenn Anders Ted de Corsia,Orson Welles
Enter the Void,Fantasy Drama,prostitute hallucination strip club afterlife surrealism,,Nathaniel Brown Paz de la Huerta Cyril Roy Masato Tanno Jesse Kuhn,Gaspar No\u00e9
Aimee & Jaguar,Drama History Romance,berlin jew forbidden love lesbian relationship homosexuality,,Maria Schrader Juliane K\u00f6hler Johanna Wokalek Heike Makatsch Elisabeth Degen,Max F\u00e4rberb\u00f6ck
3000 Miles to Graceland,Action Adventure Comedy Thriller Crime,casino submachine gun hold-up robbery elvis reference to elvis presley,Crime Is King.,Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak,Demian Lichtenstein
Hesher,Drama,loss of mother clerk grocery loss of relative loss of wife,Sometimes life gives you the finger and sometimes it gives you...,Joseph Gordon-Levitt Natalie Portman Rainn Wilson Audrey Wasilewski Frank Collison,Spencer Susser
Memento,Mystery Thriller,individual insulin tattoo waitress amnesia,Some memories are best forgotten.,Guy Pearce Carrie-Anne Moss Joe Pantoliano Mark Boone Junior Stephen Tobolowsky,Christopher Nolan
The Mummy Returns,Adventure Action Fantasy,son ancient egypt bracelet,The most powerful force on earth is about to be unleashed by the two people who should know better.,Brendan Fraser Rachel Weisz John Hannah Arnold Vosloo Oded Fehr,Stephen Sommers
Against the Ropes,Romance Drama,biography sport,,Meg Ryan Tony Shalhoub Joe Cortese Kerry Washington Omar Epps,Charles S. Dutton
Boogie Nights,Drama,pornography sex porn actor pornographic video from rags to riches,"The life of a dreamer, the days of a business, and the nights in between.",Mark Wahlberg Burt Reynolds John C. Reilly Julianne Moore Thomas Jane,Paul Thomas Anderson
The Legend of the Lone Ranger,Action Adventure Romance Western,lone ranger wild bill hickok buffalo bill the lone ranger,"The untold story of the man behind the mask, and the legend behind the man.",Christopher Lloyd Matt Clark Juanin Clay Jason Robards John Bennett Perry,William A. Fraker
Money Monster,Thriller,bomb sniper tv show hostage drama police,Not every conspiracy is a theory.,George Clooney Julia Roberts Jack O'Connell Caitriona Balfe Dominic West,Jodie Foster
The Ghost and the Darkness,Adventure,africa lion bridge based on true story kenya,Prey For The Hunters,Michael Douglas Val Kilmer Tom Wilkinson John Kani Emily Mortimer,Stephen Hopkins
Coach Carter,Drama,black people autoritian education sport high school scholarship,It begins on the street. It ends here.,Samuel L. Jackson Rob Brown Robert Ri'chard Rick Gonzalez Channing Tatum,Thomas Carter
Black Rock,Thriller Horror,friends remote island woman director,Not every island is a paradise.,Kate Bosworth Lake Bell Jay Paulson Katie Aselton Will Bouvier,Katie Aselton
Over the Hedge,Comedy Animation Family,squirrel eating and drinking vororte garden grizzly bear,Taking back the neighborhood... One snack at a time.,Bruce Willis Garry Shandling Steve Carell Wanda Sykes William Shatner,Karey Kirkpatrick
